Title,Main Goal,Author,Days Per Week,Equiptment Required,Workout Type,Training Level,Target Gender,Summary,Image
Jen Jewell's Summer Countdown: Burn Fat & Build A Bikini Booty,Lose Fat,Jen Jewell,4,"Barbell, Bodyweight, Dumbbells, Exercise Ball",Full Body,Beginner,"
						Female						
					","The time to sculpt your summer body is now! Get lean, healthy, and strong with Jen Jewell's Summer Countdown Workout that combines strength training with cardio bursts for maximum fat loss.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/jen-jewell-summer-countdown-featured.jpg
Shaun's 4 Day Muscle Building Split Routine,Build Muscle,Shaun McEwan,4,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					",A solid 4 day split workout that is designed for those who want to build lean muscle mass and/or gain weight. Workout was developed by Shaun from the M & Strength forum.,
Building Bigger Pecs: 4 Workouts For Improved Chest Size,Build Muscle,M&S Team,1,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Single Muscle Group,Intermediate,"
						Male & Female						
					","It's time for a change. These four unique chest workouts provide you with effective, intense and fun training options that will help to increase your pec size and strength.",
3 Day Power Muscle Burn Workout Split,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells, EZ Bar, Machines",Split,Intermediate,"
						Male & Female						
					","Finally! A three day workout split variation for the wildly popular Power, Muscle, Burn muscle building system. Thousands of people have used this system successfully.",
Advanced Bodybuilder Workout,Build Muscle,M&S Writers,5,"Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines",Split,Advanced,"
						Male & Female						
					",Advanced bodybuilder workout suited to advanced lifters with at least one year of lifting experience. Step up your training and re-ignite big gains!,
"Wild 20 Powerbuilding Workout: Get Crazy, Get Big & Strong",Build Muscle,M&S Writers,4,"Barbell, Cables, Dumbbells, Machines",Split,Intermediate,"
						Male & Female						
					","Bust out of your training rut and blast through muscle and strength building plateaus using a unique combination of 5, 10 and 20 rep sets. This program delivers results.",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/wild_20_feature.jpg
Shrugs Are Overrated: Build a Massive Yoke Without Shrugs,Build Muscle,Ben Johnson,1,"Barbell, Dumbbells",Single Muscle Group,Intermediate,"
						Male & Female						
					","Traps are the true sign of strength. Quit relying on ego-based, half shrug movements and build a serious yoke with this 4 week explosive workout plan!",https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/massive-yolk-feature.jpg
"Hugh Jackman's Workout: Strong, Lean & Powerful",Build Muscle,Luke Atchley,4,"Barbell, Bodyweight, Cables, Dumbbells, Machines, Medicine Ball",Split,Beginner,"
						Male						
					",Get ripped like Wolverine by applying the same underlying training principles Hugh Jackman did while working out in preparation for his role on the big screen.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/hugh_jackman_wolverine_body_workout_0.jpg
Cut Like Cutler Trainer - Cycle 1,Build Muscle,Team BPI,5,"Barbell, Cables, Dumbbells, EZ Bar, Machines",Split,Beginner,"
						Male & Female						
					",Follow the workout logs for Cycle 1 of the Cut Like Cutler trainer. Week 1 is Heavy training and Week 2 is more Moderate.,https://cdn.muscleandstrength.com/sites/default/files/field/feature-image/workout/cut_like_cutler_cycle_1.jpg
The Ex-Hardgainer Workout And Eating Plan,Build Muscle,M&S Team,3,"Barbell, Bodyweight, Dumbbells",Full Body,Beginner,"
						Male & Female						
					","Tired of being a hardgainer? This program contains a detailed workout and progression scheme, along with eating advice and a sample daily diet plan.",
Big Arms Fast: 4 Week Specialization Workout,Build Muscle,Justin Woltering,2,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other",Split,Beginner,"
						Male & Female						
					","This four week bicep and tricep building specialization routine from transformation expert Justin Woltering is designed to help you bring up your lagging arms, and fast.",
